Root name;Tags;;;;;;;
Glass bottle (agar);agar bottle, culture media bottle, agar medium, laboratory glass bottle, microbiology media, solid culture medium, media preparation, sterile bottle, reagent bottle, growth medium, microbiology laboratory, bacterial culture media, autoclaved media, borosilicate bottle, lab container, media, agar agar, microbiology;;;;;;;
Glass bottle (empty);laboratory glass bottle, empty reagent bottle, media bottle, borosilicate bottle, lab glassware, sterile bottle, chemical storage bottle, reagent container, laboratory container, screw cap bottle, clear glass bottle, sample bottle, scientific equipment, microbiology glassware, laboratory supply, bacterial culture, yeast culture;;;;;;;
Inoculating loop;inoculating loop, microbiology loop, bacterial inoculation, culture transfer tool, sterile loop, microbiology equipment, streak plate tool, colony picking, bacterial culture, aseptic technique, wire loop, laboratory instrument, microbial sampling, culture inoculation, microbiology;;;;;;;
Confocal microscope;confocal microscope, confocal microscopy, fluorescence microscopy, laser scanning microscope, optical sectioning, cellular imaging, biomedical imaging, microscopy equipment, high-resolution microscopy, fluorescence imaging, laboratory microscope, 3D cell imaging, biological research, imaging system, scientific instrument, bacterial culture, yeast culture;;;;;;;
Shake flask (1L, culture);1L shake flask, shake flask, Erlenmeyer flask, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, maxiprep, miniprep, bioprocessing, orbital shaking, biotechnology equipment, microorganism,  1 litre flask, 5 litre flask,  250ml, 100ml, 50ml, bacterial culture, yeast culture;;;;;;;
Shake flask (1L, empty);1L shake flask, empty shake flask, Erlenmeyer flask, empty, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, bioprocessing, orbital shaking, biotechnology equipment, microorganism,  maxiprep, miniprep, 1 litre flask, 5 litre flask,  250ml, 100ml, 50ml, bacterial culture, yeast culture;;;;;;;
Shake flask (250mL, culture);250ml shake flask, shake flask, Erlenmeyer flask, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, bioprocessing, miniprep, maxiprep, orbital shaking, biotechnology equipment, microorganism,  250ml, 1 litre flask, 5 litre flask, 100ml, 50ml, bacterial culture, yeast culture;;;;;;;
Shake flask (250mL, empty);250ml shake flask, empty shake flask, Erlenmeyer flask, empty, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, bioprocessing, orbital shaking, biotechnology equipment, microorganism, miniprep, maxiprep,  250ml, 1 litre flask, 5 litre flask, 100ml, 50ml, bacterial culture, yeast culture;;;;;;;
Shake flask (500mL, culture);500ml shake flask, shake flask, Erlenmeyer flask, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, bioprocessing, miniprep, maxiprep, orbital shaking, biotechnology equipment, microorganism,  500ml, 1 litre flask, 5 litre flask, 100ml, 250ml, 50ml, bacterial culture, yeast culture;;;;;;;
Shake flask (500mL, empty);500ml shake flask, empty shake flask, Erlenmeyer flask, empty, culture flask, microbial culture, liquid culture, cell culture flask, fermentation flask, bacterial culture, laboratory flask, culture medium, bioprocessing, orbital shaking, biotechnology equipment, microorganism, miniprep, maxiprep, 500ml, 1 litre flask, 5 litre flask, 100ml, 250ml, 50ml, bacterial culture, yeast culture;;;;;;;
Human egg cell (ovum);human egg cell, egg cell, ovum, oocyte, female gamete, reproductive cell, human fertilization, egg cell anatomy, reproductive biology, human reproduction, gametogenesis, zona pellucida, corona radiata, embryology, fertility, cellular biology, cell, cells;;;;;;;
Adipocyte (2D);adipocyte, fat cell, adipose tissue, lipid droplet, white adipocyte, 2D, fat storage cell, metabolic cell, connective tissue cell, lipid metabolism, obesity research, adipogenesis, cell, cells;;;;;;;
Adipocyte (3D);adipocyte, fat cell, adipose tissue, lipid droplet, white adipocyte, 3D, fat storage cell, metabolic cell, connective tissue cell, lipid metabolism, obesity research, adipogenesis, cell, cells;;;;;;;
Astrocyte (3D);astrocyte, glial cell, 3D, neuroglia, brain cell, central nervous system, neural support cell, blood-brain barrier, nervous tissue, neuroscience, star-shaped cell, brain physiology, neurobiology,;;;;;;;
Chondrocytes (2D);chondrocytes, cartilage cells, cartilage tissue, 2D, cartilage, connective tissue, joint, arthritis, synovium, synovial membrane, articular, musculoskeletal, cell, cells;;;;;;;
Chondrocytes (3D);chondrocytes, cartilage cells, cartilage tissue, 3D, cartilage, connective tissue, joint, arthritis, synovium, synovial membrane, articular, musculoskeletal, cell, cells;;;;;;;
Muscle cells (cardiac);cardiac muscle cells, cardiomyocytes, heart muscle, cardiac tissue, striated muscle, myocardial cells, heart cells, contractile cells, cardiovascular, intercalated discs, muscle physiology, cardiac contraction, human, cell, cells;;;;;;;
Muscle cells (skeletal);skeletal muscle cells, myocytes, muscle fibers, skeletal muscle tissue, striated muscle, multinucleated cells, voluntary muscle, muscle, contractile tissue, sarcomere, musculoskeletal, muscle, human, cell, cells;;;;;;;
