Root name,Tags
Mast cell,"mast cell, adaptive, allergy, cell, degranulation, granulocyte, histamine, immune cell, immunology, inflammation, innate, leukocyte"
Mast cell (2D),"2D, mast cell, allergy, cell, granulocyte, histamine, immune cell, inflammation, innate, leukocyte, mast cell, schematic"
Mast cell (degranulating),"mast cell, allergy, cell, degranulation, granules, histamine release, immune cell, immunology, inflammation, innate, leukocyte"
T cell (cytokine release),"T cell, adaptive, adaptive immunity, cell, cytokine, immune response, immunology, inflammation, leukocyte, lymphocyte, signaling, cancer"
T cell (attacking),"CD8, T cell, adaptive, adaptive immunity, cell, cytotoxic, immune response, immunology, killing, leukocyte, lymphocyte, attacking"
T cell (migrating),"T cell, adaptive, adaptive immunity, cell, chemotaxis, immune surveillance, immunology, leukocyte, lymphocyte, migration, motility, migrating"
Naive T cell (2D),"2D, T cell, naïve, naive, adaptive, adaptive immunity, cell, immunology, leukocyte, lymphocyte, resting"
Naive T cell,"T cell, naïve, naive, adaptive, adaptive immunity, cell, immune cell, immunology, leukocyte, lymphocyte, resting, surveillance"
T cell (2D),"2D, T cell, adaptive, adaptive immunity, cell, defense, immune cell, immunology, leukocyte, lymphocyte, schematic"
T cell,"CD3, T cell, adaptive, adaptive immunity, cell, defense, immune cell, immunology, leukocyte, lymphocyte, white blood cell"
Neutrophil (migrating),"neutrophil, cell, chemotaxis, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, migration, motility"
Neutrophil (NETosis),"NETosis, neutrophil, cell, cell death, defense, extracellular traps, granulocyte, inflammation, innate, innate immunity, leukocyte"
Neutrophil (diapedesis),"neutrophil, cell, diapedesis, transmigration, extravasation, endothelium, immune cell, inflammation, innate, innate immunity, leukocyte"
Neutrophil (crawling),"neutrophil, cell, chemotaxis, crawling, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, motility"
Neutrophil (2D),"2D, neutrophil, cell, defense, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, neutrophil, schematic"
Neutrophil,"neutrophil, cell, defense, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, phagocyte, white blood cell"
Neutrophil (phagocytosing),"neutrophil, phagocytosis, cell, defense, granulocyte, immune cell, inflammation, innate, innate immunity, leukocyte, pathogen killing"
Macrophage (phagocytosis),"macrophage, phagocytosis, cell, defense, immune cell, inflammation, innate, innate immunity, leukocyte, monocyte, antigen presentation"
Macrophage (2D),"2D, macrophage, cell, defense, immune cell, immunology, innate, innate immunity, leukocyte, phagocyte, schematic, antigen presenting cell, APC"
Macrophage,"antigen presentation, cell, defense, immune cell, inflammation, innate, innate immunity, leukocyte, macrophage, monocyte, phagocyte, antigen presenting cell, APC"
Monocyte,"blood, cell, immune cell, immunology, innate, innate immunity, leukocyte, macrophage, monocyte, precursor"
Follicular dendritic cell,"follicular dendritic cell, antigen presentation, cell, follicular dendritic cell, germinal center, immune cell, immunology, innate, leukocyte, lymph node, lymphoid, APC"
Follicular dendritic cell (2D),"2D, follicular dendritic cell, antigen presentation, cell, germinal center, immune cell, immunology, innate, leukocyte, lymphoid, APC"
Dendritic cell (mature),"dendritic cell, mature, dendritic, cell, APC, antigen presenting cell, T cell activation, adaptive immunity, antigen presentation, cell, immune cell, immunology, innate, leukocyte, mature"
Dendritic cell (2D),"2D, dendritic cell, dendritic, cell, antigen presenting cell, APC, antigen presentation, dendritic cell, immune cell, immunology, innate, innate immunity, leukocyte, schematic"
Dendritic cell,"dendritic cell, dendritic, cell, antigen presenting cell,  APC, T cell activation, antigen presentation, cell, dendritic cell, immune cell, immunology, innate, innate immunity, leukocyte, surveillance"
Dendritic cell (immature),"immature, dendritic cell, dendritic, cell, antigen presenting cell, APC, antigen uptake, immature, immune cell, immunology, innate, innate immunity, leukocyte, migration"
Naive B cell,"naïve, naive, B cell, adaptive, adaptive immunity, antibody, cell, immune cell, immunology, leukocyte, lymphocyte, resting, anergic"
